Date.Time,SN_10779056,Tank4,Tank5,Tank6,Tank9,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16
12/30/15 03:00:00 PM,25.089,,25.065,25.089,25.089,25.137,25.113,25.113,25.113,25.089,25.113
12/30/15 03:15:00 PM,25.089,,25.065,25.089,25.089,25.137,25.089,25.113,25.089,25.089,25.113
12/30/15 03:30:00 PM,25.065,,25.065,25.065,25.065,25.113,25.089,25.089,25.089,25.089,25.113
12/30/15 03:45:00 PM,25.04,,25.04,25.04,25.04,25.089,25.065,25.089,25.065,25.065,25.089
12/30/15 04:00:00 PM,25.016,,24.992,25.016,25.016,25.065,25.04,25.04,25.04,25.04,25.065
12/30/15 04:15:00 PM,24.992,,24.968,24.968,24.968,25.016,24.992,25.016,24.992,24.992,25.016
12/30/15 04:30:00 PM,24.944,,24.919,24.919,24.919,24.992,24.944,24.968,24.944,24.944,24.992
12/30/15 04:45:00 PM,24.895,,24.895,24.895,24.895,24.944,24.895,24.919,24.919,24.919,24.944
12/30/15 05:00:00 PM,24.847,,24.847,24.847,24.847,24.895,24.871,24.871,24.871,24.871,24.895
12/30/15 05:15:00 PM,24.823,,24.798,24.798,24.798,24.847,24.823,24.847,24.823,24.823,24.847
12/30/15 05:30:00 PM,24.774,,24.75,24.774,24.75,24.823,24.774,24.798,24.798,24.798,24.798
12/30/15 05:45:00 PM,24.726,,24.726,24.726,24.726,24.774,24.75,24.75,24.75,24.75,24.774
12/30/15 06:00:00 PM,24.677,,24.677,24.677,24.677,24.726,24.702,24.702,24.702,24.702,24.726
12/30/15 06:15:00 PM,24.629,,24.605,24.605,24.605,24.653,24.629,24.653,24.629,24.629,24.653
12/30/15 06:30:00 PM,24.557,,24.557,24.557,24.557,24.605,24.581,24.605,24.581,24.581,24.605
12/30/15 06:45:00 PM,24.508,,24.508,24.508,24.508,24.557,24.532,24.557,24.532,24.532,24.557
12/30/15 07:00:00 PM,24.484,,24.46,24.46,24.46,24.532,24.484,24.508,24.508,24.508,24.532
12/30/15 07:15:00 PM,24.436,,24.436,24.436,24.436,24.484,24.46,24.484,24.46,24.46,24.484
12/30/15 07:30:00 PM,24.412,,24.412,24.412,24.412,24.46,24.436,24.436,24.436,24.436,24.46
12/30/15 07:45:00 PM,24.388,,24.388,24.388,24.388,24.436,24.412,24.412,24.412,24.412,24.436
12/30/15 08:00:00 PM,24.363,,24.363,24.363,24.363,24.412,24.388,24.388,24.388,24.388,24.412
12/30/15 08:15:00 PM,24.339,,24.339,24.339,24.339,24.388,24.363,24.363,24.363,24.363,24.388
12/30/15 08:30:00 PM,24.315,,24.315,24.315,24.315,24.363,24.339,24.339,24.339,24.339,24.363
12/30/15 08:45:00 PM,24.291,,24.291,24.291,24.291,24.339,24.315,24.315,24.315,24.315,24.339
12/30/15 09:00:00 PM,24.267,,24.267,24.267,24.267,24.315,24.291,24.315,24.291,24.291,24.315
12/30/15 09:15:00 PM,24.267,,24.243,24.267,24.243,24.315,24.267,24.291,24.267,24.267,24.315
12/30/15 09:30:00 PM,24.243,,24.243,24.243,24.243,24.291,24.267,24.267,24.267,24.267,24.291
